TransactionAmount,TransactionCount,Age,AnnualIncome,NumCreditCards,PaymentHistoryDaysLate,SpendScore,Default
10169.0,12,25,15000,2,0,0.295,0
126357.0,12,26,75000,1,0,0.912,0
69244.0,12,32,35000,3,0,1.0,0
18602.0,12,49,65000,3,0,0.159,0
61408.0,10,36,25000,2,20,1.0,1
4538.67,6,29,25000,2,0,0.026,0
3868.33,2,33,55000,3,20,0.065,1
0.0,0,32,70000,1,10,0.0,0
8000.0,12,38,130000,2,0,0.031,0
22950.0,0,23,40000,2,0,0.861,0
55450.33,12,33,40000,2,20,0.673,0
14708.33,12,25,45000,2,0,0.307,0
78636.0,12,34,40000,2,0,0.984,0
2400.0,0,30,15000,2,70,0.08,1
4030.33,12,29,100000,1,0,0.048,0
139617.0,12,39,55000,2,0,1.0,0
69768.0,12,33,50000,3,0,0.748,0
11892.0,12,51,15000,2,0,0.362,0
404.0,12,50,100000,2,0,0.002,0
28711.67,10,23,15000,2,20,0.941,1
7790.33,2,33,180000,2,0,0.032,0
109438.67,8,34,60000,1,20,0.878,1
25657.67,6,28,15000,2,0,0.868,0
106656.67,12,34,55000,1,0,1.0,0
246931.0,10,47,140000,1,0,0.92,0
1752.0,6,48,90000,2,0,0.025,0
3149.67,12,45,105000,1,0,0.012,0
16314.0,10,47,10000,3,20,0.716,1
5826.0,6,58,150000,1,0,0.045,0
2082.33,12,36,100000,2,0,0.005,0
699.33,12,33,275000,2,0,0.0,0
1368.67,8,27,85000,2,0,0.016,0
1899.67,8,22,15000,2,20,0.006,0
18379.0,12,36,250000,2,0,0.043,0
8776.33,12,24,90000,2,0,0.045,1
17907.0,12,36,135000,1,0,0.062,0
126932.67,12,43,250000,1,0,0.249,0
17252.33,12,43,90000,3,0,0.008,0
0.0,4,31,140000,1,0,0.0,1
595.0,4,35,25000,2,10,0.0,0
58391.33,12,42,30000,2,0,0.971,0
4506.33,10,36,115000,1,20,0.004,1
0.0,0,41,80000,1,10,0.0,1
169799.33,12,45,85000,2,0,0.998,0
230.67,10,37,100000,1,20,0.002,1
41673.33,12,46,45000,4,0,0.858,0
29763.67,8,30,15000,2,40,1.0,0
448.33,2,27,75000,1,0,0.009,0
83076.0,12,50,145000,2,0,0.306,0
243738.67,12,34,235000,2,0,0.527,0
0.0,0,70,65000,1,10,0.0,1
2003.33,12,27,140000,2,0,0.006,0
107227.67,12,29,55000,2,0,0.954,0
20048.67,12,31,15000,1,0,0.947,0
24004.0,12,35,100000,1,0,0.037,0
4716.67,12,39,140000,2,0,0.005,0
142493.67,12,42,210000,1,0,0.371,0
5.0,8,31,180000,1,0,0.0,0
2600.67,10,43,60000,2,0,0.033,0
181468.67,12,26,105000,2,0,0.984,0
1000.0,12,34,150000,2,0,0.003,1
13163.67,10,43,15000,3,20,0.42,0
129148.0,12,51,60000,1,20,1.0,0
894.67,10,31,120000,2,0,0.001,0
196709.33,12,39,110000,3,0,0.859,0
3661.0,12,36,180000,2,0,0.013,0
8585.67,12,58,5000,3,0,0.757,0
3661.33,8,38,120000,1,30,0.026,0
8765.33,2,24,25000,1,0,0.256,1
49043.0,12,49,25000,2,0,0.953,0
1311.33,4,24,40000,2,0,0.018,0
149023.0,12,60,85000,1,0,1.0,1
40598.67,12,39,25000,3,0,0.795,1
49760.33,12,42,25000,2,0,0.99,0
200591.67,12,36,115000,1,0,0.951,0
276026.0,12,34,150000,3,0,0.936,1
136224.67,12,29,140000,2,0,0.835,0
520.0,4,47,10000,2,20,0.02,1
7762.33,12,34,120000,2,0,0.003,0
65858.0,12,42,50000,2,0,0.64,0
10841.67,12,35,180000,1,0,0.004,0
91047.0,12,32,35000,2,0,1.0,1
37305.0,12,25,135000,2,0,0.143,0
115.67,6,36,145000,2,0,0.003,0
17793.0,12,34,200000,2,0,0.037,0
2500.0,0,59,150000,1,20,0.008,0
14313.0,10,44,105000,3,0,0.056,1
38973.0,10,55,25000,2,20,0.76,1
89815.0,12,39,55000,2,0,0.846,0
4533.67,8,29,120000,1,0,0.013,0
48519.0,12,24,25000,2,20,0.977,1
65138.0,12,28,40000,3,0,0.799,1
7495.33,10,24,10000,2,20,0.348,1
158027.0,10,29,65000,2,20,1.0,0
8360.33,8,29,105000,1,0,0.089,0
79768.67,12,28,65000,2,0,0.681,0
115573.0,12,46,65000,1,0,0.852,1
15001.0,12,22,10000,3,0,0.803,0
0.0,0,30,120000,1,0,0.0,0
1661.33,6,27,50000,1,0,0.029,1
140723.0,10,44,90000,4,20,0.842,0
